Grupo que inclui o Aluno com o Nº 71369
MEIO-TP1 - Numero de unidades de artigos compradas por cada cliente
Numero/Frequencia
1	75
2	69
3	70
4	74
5	104
6	91
7	93
8	110
9	84
10	84
11	87
12	97
13	65
14	70
15	67
16	62
17	90
18	92
19	92
20	97
21	92
22	127
23	110
24	103
25	117
26	141
27	130
28	156
29	151
30	133
31	164
32	172
33	170
34	169
35	155
36	168
37	194
38	191
39	187
40	199
41	207
42	225
43	216
44	213
45	244
46	237
47	243
48	232
49	236
50	221
51	195
52	214
53	209
54	192
55	193
56	177
57	175
58	165
59	156
60	149
61	161
62	152
63	131
64	131
65	120
66	121
67	102
68	99
69	98
70	84
71	77
72	78
73	88
74	67
75+	284
